,project,merge_dir,merge_commit,base_blob,left_blob,right_blob,expected_blob,replayed_blob,merge_cmd,outcome,git_diff_size,num_conflicts,conflict_size,runtime
18,devbliss/mongojack,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/TestJsonViews.java_be5313eed4a2488d18db7be6c67829f6ae9390ac,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f,ffa64cc69a1c2cfcad29d2e8988ffba981d04f78,f9a566d6d1cb032a5749fe191e6c190351e9d814,9b24e4a235b31f251604f1252d9f70e451352e3b,bd1bfb615a2a72b84c16a15b6f4c7d0bf0465c7a,812dc7d861a906893999691c17fe43ac3e21fc38,jdime,success,153,0,0,0.5741211539998403
19,devbliss/mongojack,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f/TestJsonViews.java_be5313eed4a2488d18db7be6c67829f6ae9390ac,fd3d13ebd7a8a6acbb0e0ffd70acc14e1a1caf3f,ffa64cc69a1c2cfcad29d2e8988ffba981d04f78,f9a566d6d1cb032a5749fe191e6c190351e9d814,9b24e4a235b31f251604f1252d9f70e451352e3b,bd1bfb615a2a72b84c16a15b6f4c7d0bf0465c7a,a9f9f0ddeef29438e64190b94ec15c6fe2c92ff3,spork,success,15,0,0,1.0472700469999836
0,TooTallNate/Java-WebSocket,07123194ec2b3857be609237d52ff2d4d9fc643b/DefaultSSLWebSocketServerFactory.java_43052f3a44b8baf56bc69d74acae889a338286a1,07123194ec2b3857be609237d52ff2d4d9fc643b,f3124d082c6c8c7d31db4f220f76b548b55e4f26,71b6790be4172666e9dfc4d43a6b868119633a83,011951e3094da65e2f9e9a2d01079057f3211dff,011951e3094da65e2f9e9a2d01079057f3211dff,2c667e2788b41bd48b3ab5ce51c0dff4445e786e,spork,success,24,0,0,1.1384910289998516
1,TooTallNate/Java-WebSocket,07123194ec2b3857be609237d52ff2d4d9fc643b/DefaultSSLWebSocketServerFactory.java_43052f3a44b8baf56bc69d74acae889a338286a1,07123194ec2b3857be609237d52ff2d4d9fc643b,f3124d082c6c8c7d31db4f220f76b548b55e4f26,71b6790be4172666e9dfc4d43a6b868119633a83,011951e3094da65e2f9e9a2d01079057f3211dff,011951e3094da65e2f9e9a2d01079057f3211dff,b3aa9a52c00ee27c38eee3fc5e043125b21d8833,jdime,success,82,0,0,0.713368771000205
2,TooTallNate/Java-WebSocket,1196574c3436f87682e1487f5ed0e179ea870ed3/WebSocketClient.java_c167c5df4e39261a8bd112f5dba9151497fe9408,1196574c3436f87682e1487f5ed0e179ea870ed3,86eff7947c2fcebffcd77a6c18892884fca77a4d,cae1ff2e06181dd1ff2c0f37b913bc9b7c4f05db,2d9842d6d90ce139c3420eb850d87f75a89f1ab2,742395aeae8180f6a309dbc96c34586e9c0bfda0,4c42cbb4fdd1994e065de9ac5b4a4fcfd2610bcf,spork,conflict,124,1,2,1.5628352039998392
3,TooTallNate/Java-WebSocket,1196574c3436f87682e1487f5ed0e179ea870ed3/WebSocketClient.java_c167c5df4e39261a8bd112f5dba9151497fe9408,1196574c3436f87682e1487f5ed0e179ea870ed3,86eff7947c2fcebffcd77a6c18892884fca77a4d,cae1ff2e06181dd1ff2c0f37b913bc9b7c4f05db,2d9842d6d90ce139c3420eb850d87f75a89f1ab2,742395aeae8180f6a309dbc96c34586e9c0bfda0,e7acd04a01367f3d6f23230f81886255bcabf2c7,jdime,success,711,0,0,2.0397257290001107
4,TooTallNate/Java-WebSocket,1bc60f74b609a1a446c65c60f59e06e749a9df1f/WebSocketImpl.java_f0fd5279ebec06c9bfc7008b64d7eeacbd4a1b23,1bc60f74b609a1a446c65c60f59e06e749a9df1f,74aca199d148c85a75875bf4a03dda645296d73f,f7945913483f9fef6f7778278dee3fc53e33f9a2,7cc33302311a18db5ac6d359f9682a1a555401d6,1444d869a4d9abba2b87a5992ce74993a6602860,b77e98e750b395f7fa1eda48d2d624ad9128e7ee,jdime,success,1297,0,0,3.00489979699978
5,TooTallNate/Java-WebSocket,1bc60f74b609a1a446c65c60f59e06e749a9df1f/WebSocketImpl.java_f0fd5279ebec06c9bfc7008b64d7eeacbd4a1b23,1bc60f74b609a1a446c65c60f59e06e749a9df1f,74aca199d148c85a75875bf4a03dda645296d73f,f7945913483f9fef6f7778278dee3fc53e33f9a2,7cc33302311a18db5ac6d359f9682a1a555401d6,1444d869a4d9abba2b87a5992ce74993a6602860,bdd47f1bf93deec3076e36f5b092abe2dd60aa49,spork,success,147,0,0,2.0733723060002376
6,TooTallNate/Java-WebSocket,2861d78f4d9c0e1922a32ed8fc6157798608d34a/SSLSocketChannel2.java_8877c34887984f75b373ad950c8e458b7e807c7a,2861d78f4d9c0e1922a32ed8fc6157798608d34a,83de34292b71b4b36230af70cb77dc95e115bf10,49823cd606da383b827278fbd4e10e304a8d8ccd,286b9ddc01e552395c219d1f42599bb54324a154,1d2e67ecd76e4b8599cef543f86b208800ab795e,83dd4a48e3e9d1e12ff906ff6bef7014c6a747b8,spork,success,42,0,0,1.590814861999661
7,TooTallNate/Java-WebSocket,2861d78f4d9c0e1922a32ed8fc6157798608d34a/SSLSocketChannel2.java_8877c34887984f75b373ad950c8e458b7e807c7a,2861d78f4d9c0e1922a32ed8fc6157798608d34a,83de34292b71b4b36230af70cb77dc95e115bf10,49823cd606da383b827278fbd4e10e304a8d8ccd,286b9ddc01e552395c219d1f42599bb54324a154,1d2e67ecd76e4b8599cef543f86b208800ab795e,bef68071b4d0b16e52e9d8d608c8d6fdb0f207d0,jdime,success,621,0,0,1.5643605680002108
8,TooTallNate/Java-WebSocket,4232021c7364717219fd8e45645579a9ca0b3e8a/AutobahnServerTest.java_b73c9e92f084690b5d121c711f9f8cf9095897f1,4232021c7364717219fd8e45645579a9ca0b3e8a,61eb4291c2025aa55e0b731714cb70530c48717c,bb2e10051ee25f8897b8e5f4a8b43077a84b4430,e07e335586105a565f8f44cfdd39c591b95dadf2,20bd13e9cc08eade1b0b74cd355f7fc77a0cefd7,58a55dfd25b293b13bbc03b4e0d4f444af10d952,jdime,success,137,0,0,0.8525716069998452
9,TooTallNate/Java-WebSocket,4232021c7364717219fd8e45645579a9ca0b3e8a/AutobahnServerTest.java_b73c9e92f084690b5d121c711f9f8cf9095897f1,4232021c7364717219fd8e45645579a9ca0b3e8a,61eb4291c2025aa55e0b731714cb70530c48717c,bb2e10051ee25f8897b8e5f4a8b43077a84b4430,e07e335586105a565f8f44cfdd39c591b95dadf2,20bd13e9cc08eade1b0b74cd355f7fc77a0cefd7,63d3f6315433e1443280aea7565bf0b3d61445f2,spork,success,40,0,0,1.0838933400000317
10,TooTallNate/Java-WebSocket,4232021c7364717219fd8e45645579a9ca0b3e8a/Draft_6455.java_d35bc343295baf2e50a978f11c8803b6a4b6e67f,4232021c7364717219fd8e45645579a9ca0b3e8a,126f154d93598c381da0d76a085efae539acf8f2,f80172bff03571a1c3b0f56f481de96e8dce646f,4c19daf84b2a87f60eb7c26d5e02336fc0da54b3,bb97c82deef082fb325d35cb25766aeb28ad2f9a,0096b3665f2929923f92923c9cfe0c8536214a99,jdime,success,1662,0,0,3.1598799840003267
11,TooTallNate/Java-WebSocket,4232021c7364717219fd8e45645579a9ca0b3e8a/Draft_6455.java_d35bc343295baf2e50a978f11c8803b6a4b6e67f,4232021c7364717219fd8e45645579a9ca0b3e8a,126f154d93598c381da0d76a085efae539acf8f2,f80172bff03571a1c3b0f56f481de96e8dce646f,4c19daf84b2a87f60eb7c26d5e02336fc0da54b3,bb97c82deef082fb325d35cb25766aeb28ad2f9a,521027b5e16f9b3118bed480ca7a8651615d99c7,spork,success,526,0,0,2.5273688050001506
12,TooTallNate/Java-WebSocket,60425255a37b1ee95260ed54b6d13925c05d8225/WebSocketClient.java_c167c5df4e39261a8bd112f5dba9151497fe9408,60425255a37b1ee95260ed54b6d13925c05d8225,1aeb64688cbdd51a4781d40e69240de73c7c9987,7c5c90241d549f1a1b0e5fd59565cc8c3f088c57,b21225f0a355e6a7cbbd4c418d67f3eb74c5c9d5,e7e4f6c8d3c41d2d604565678994f20cafae60a1,1dc7bdcbd951642d6f57b3af782bec876ff4f894,jdime,success,747,0,0,2.1723960119998083
13,TooTallNate/Java-WebSocket,60425255a37b1ee95260ed54b6d13925c05d8225/WebSocketClient.java_c167c5df4e39261a8bd112f5dba9151497fe9408,60425255a37b1ee95260ed54b6d13925c05d8225,1aeb64688cbdd51a4781d40e69240de73c7c9987,7c5c90241d549f1a1b0e5fd59565cc8c3f088c57,b21225f0a355e6a7cbbd4c418d67f3eb74c5c9d5,e7e4f6c8d3c41d2d604565678994f20cafae60a1,89eb9ae34265f5747a2ab50dd63e80c1af2144b9,spork,success,197,0,0,1.8860246740000548
14,TooTallNate/Java-WebSocket,60425255a37b1ee95260ed54b6d13925c05d8225/WebSocketImpl.java_f0fd5279ebec06c9bfc7008b64d7eeacbd4a1b23,60425255a37b1ee95260ed54b6d13925c05d8225,7bb7e8891c7f185d03c5404e16d20c4478ba2df4,1d8f0f8922b425f502df602f374f48dc2590b2aa,1780627a34d58d5e12a8646da786191509155769,669bee146c6cf49575611bf32ad8fa60e6a578c4,614a98d17d8f063bef5fcf3044e0bed47ebfeb5f,jdime,success,1264,0,0,3.0614738260001104
15,TooTallNate/Java-WebSocket,60425255a37b1ee95260ed54b6d13925c05d8225/WebSocketImpl.java_f0fd5279ebec06c9bfc7008b64d7eeacbd4a1b23,60425255a37b1ee95260ed54b6d13925c05d8225,7bb7e8891c7f185d03c5404e16d20c4478ba2df4,1d8f0f8922b425f502df602f374f48dc2590b2aa,1780627a34d58d5e12a8646da786191509155769,669bee146c6cf49575611bf32ad8fa60e6a578c4,9455ec6784bbddaf002a9b33a75c2e8219d0cf36,spork,success,345,0,0,2.152116793999994
16,TooTallNate/Java-WebSocket,64b757473bc328eff7f07ff826f560cad3a57c4e/SSLClientExample.java_a86b7d7da71e4ddefaa4779e94f2366010baab5f,64b757473bc328eff7f07ff826f560cad3a57c4e,693c71bbea5d07b9646bcd323d9ce6c8899063cb,4f6e1d8759b0ce27e1c56b72b4eaad89f308c00e,fa94e210f615ce175f69834bb9b6e0ba66d5215b,5b3361be7fc7b4e254952e7c7b20c41e747c06f0,4d6f53f2e32e84a9243ff1840b0c710d83538b86,jdime,success,152,0,0,0.9069688190002124
17,TooTallNate/Java-WebSocket,64b757473bc328eff7f07ff826f560cad3a57c4e/SSLClientExample.java_a86b7d7da71e4ddefaa4779e94f2366010baab5f,64b757473bc328eff7f07ff826f560cad3a57c4e,693c71bbea5d07b9646bcd323d9ce6c8899063cb,4f6e1d8759b0ce27e1c56b72b4eaad89f308c00e,fa94e210f615ce175f69834bb9b6e0ba66d5215b,5b3361be7fc7b4e254952e7c7b20c41e747c06f0,daa7a106469fc21c7a743f59c0c81a82a453fd02,spork,success,130,0,0,1.0276632059999429
